Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
000603.SZ,盛达矿业,12.82,北京,有色金属,1996/8/23,23.54520548,1,0.43,0.71,2.6333,-,0,29.81395349,0,-0.394366197,-39.44%,1.869006632,-3.322203103,4.868416056,8245133685
000605.SZ,渤海股份,5.65,北京,公用事业,1996/9/13,23.48767123,0,0.283333333,-0.031366667,5.9106,是,1,19.94117647,11.77876921,-10.03294368,-1003.29%,0.84419328,-0.192317791,0.955909722,2327546760
000606.SZ,神州易桥,4.45,青海,计算机,1996/10/4,23.43013699,0,0.092766667,0.008833333,3.6353,-,0,47.96981674,0,9.501886792,950.19%,2.064771283,-1.224054485,1.224108052,4257844403
000607.SZ,华媒控股,4.29,浙江,传媒,1996/8/30,23.5260274,1,0.153333333,0.043333333,1.8577,是,1,27.97826087,10.6433293,2.538461538,253.85%,1.395960419,-2.262757153,2.309307208,4579642845
000608.SZ,阳光股份,5.23,广西,房地产,1996/9/19,23.47123288,0,-0.133333333,0.28,3.9661,-,0,10000,0,-1.476190476,-147.62%,2.178745672,2.141382065,1.318675777,3959542272
000609.SZ,中迪投资,4.69,北京,房地产,1996/10/10,23.41369863,0,0.233333333,0.395633333,5.0647,-,0,20.1,0,-0.410228326,-41.02%,8.6122972,-2.54846176,0.926017336,1610048508
000610.SZ,西安旅游,7.83,陕西,休闲服务,1996/9/26,23.45205479,0,0.1245,0.097,3.6764,是,1,62.89156627,5.656117576,0.283505155,28.35%,1.583189612,8.020410144,2.129800892,2000519763
000611.SZ,天首发展,3.8,内蒙古,纺织服装,1996/10/8,23.41917808,0,-0.160833333,-0.026666667,1.1262,-,0,10000,0,5.03125,503.12%,0.031767674,-3.741545563,3.374178654,1273589023
000612.SZ,焦作万方,3.7,河南,有色金属,1996/9/26,23.45205479,0,-0.046766667,0.391666667,3.544,-,0,10000,0,-1.119404255,-111.94%,0.543233367,2.420723282,1.044018059,4804563558
000613.SZ,大东海Ａ,5.54,海南,休闲服务,1997/1/28,23.11232877,0,0.0008,-0.0049,0.2136,-,0,6925,0,-1.163265306,-116.33%,1.563444883,-5.313142763,25.93632959,1958858000
000615.SZ,京汉股份,3.59,湖北,房地产,1996/10/16,23.39726027,0,0.246666667,-0.166666667,2.4599,-,0,14.55405405,0,-2.48,-248.00%,2.046407961,2.80182375,1.459408919,3637730698
000616.SZ,海航投资,2.61,辽宁,房地产,1996/11/8,23.33424658,0,-0.016666667,0.24,3.0432,-,0,10000,0,-1.069444444,-106.94%,3.357856008,2.08717465,0.857649842,3332446210
000617.SZ,中油资本,10.62,新疆,非银金融,1996/10/22,23.38082192,0,0.773333333,-0.136666667,8.5692,是,1,13.73275862,30.06762148,-6.658536585,-665.85%,0.835530806,0.135606531,1.239322224,1.04E+11
000619.SZ,海螺型材,5.08,安徽,建筑材料,1996/10/23,23.37808219,1,0.0877,0.398633333,6.8089,-,0,57.92474344,0,-0.779998328,-78.00%,2.248865338,13.80636973,0.746082333,1947600000
000620.SZ,新 华 联,3.2,北京,房地产,1996/10/29,23.36164384,1,0.453333333,0.353333333,4.1006,是,1,7.058823529,31.97230065,0.283018868,28.30%,1.516331151,0.230587356,0.780373604,9900723992
000622.SZ,恒立实业,4.49,湖南,汽车,1996/11/7,23.3369863,0,0.018633333,-0.06,0.4485,-,0,240.9660107,0,-1.310555556,-131.06%,2.306089549,-1.285903544,10.01114827,1905012480
000623.SZ,吉林敖东,16.42,吉林,医药生物,1996/10/28,23.36438356,1,1.431433333,1.593333333,17.6019,是,1,11.47101972,24.87267542,-0.101610879,-10.16%,3.177627666,-16.91605148,0.93285384,17968852666
000625.SZ,长安汽车,10.17,重庆,汽车,1997/6/10,22.74794521,0,0,0.103333333,9.6291,是,1,10000,12.69929009,-1,-100.00%,1.149331797,-20.5800553,1.056173474,40918565314
000626.SZ,远大控股,7.74,江苏,商业贸易,1996/11/28,23.27945205,0,0.17,0.1362,4.7001,-,0,45.52941176,0,0.248164464,24.82%,1.505639018,-1.775609535,1.646773473,3919556792
000627.SZ,天茂集团,5.96,湖北,非银金融,1996/11/12,23.32328767,0,0.336666667,-0.047,3.8441,-,0,17.7029703,11.17351149,-8.163120567,-816.31%,2.66744309,-6.448728697,1.550427929,33102215406
000628.SZ,高新发展,9.05,四川,建筑装饰,1996/11/18,23.30684932,0,0.116,0.042666667,2.6092,-,0,78.01724138,0,1.71875,171.88%,1.238013815,-0.569726084,3.468496091,2921682400
000629.SZ,*ST 钒钛,2.39,四川,采掘,1996/11/15,23.31506849,0,-0.078933333,0.0444,0.8615,-,0,10000,0,-2.777777778,-277.78%,0.820614424,1.580478262,2.774230992,23965391904
000630.SZ,铜陵有色,2.06,安徽,有色金属,1996/11/20,23.30136986,0,0.046666667,0.69,1.7031,是,1,44.14285714,44.55564038,-0.93236715,-93.24%,0.936993854,0.938021229,1.209559039,22421515946
000631.SZ,顺发恒业,2.59,吉林,房地产,1996/11/22,23.29589041,1,0.296666667,0.546666667,2.6232,是,1,8.730337079,47.33759468,-0.457317073,-45.73%,2.454307256,-1.008755875,0.987343702,6567801754
000632.SZ,三木集团,4.95,福建,综合,1996/11/21,23.29863014,1,0.053166667,0.028133333,2.8,-,0,93.10344828,0,0.889810427,88.98%,0.985981814,0.461403555,1.767857143,2848979768
000633.SZ,合金投资,3.6,新疆,有色金属,1996/11/12,23.32328767,0,0.006566667,0.013033333,0.424,-,0,548.2233503,0,-0.496163683,-49.62%,3.671466445,0.277711417,8.490566038,1494212727
000635.SZ,英 力 特,7.94,宁夏,化工,1996/11/20,23.30136986,1,0.253333333,0.318666667,8.7265,是,1,31.34210526,1445.080995,-0.205020921,-20.50%,3.168928362,-9.316753312,0.909872228,2212539495
000636.SZ,风华高科,24.12,广东,电子,1996/11/29,23.27671233,1,0.526666667,0.16,6.0693,是,1,45.79746835,26.40358571,2.291666667,229.17%,1.701932395,-29.47577946,3.974099155,11870791052
000637.SZ,茂化实华,4.93,广东,化工,1996/11/14,23.31780822,1,0.126666667,0.056666667,1.6515,是,1,38.92105263,83.73608192,1.235294118,123.53%,4.02943443,-4.595531111,2.985165002,2152283974
000638.SZ,万方发展,4.48,吉林,综合,1996/11/26,23.28493151,0,-0.131366667,0.007033333,0.4221,-,0,10000,0,-19.67772512,-1967.77%,1.186611748,-2.020804566,10.61359867,1460368000
000639.SZ,西王食品,4.81,山东,食品饮料,1996/11/26,23.28493151,1,0.56,0.876666667,5.6748,是,1,8.589285714,13.16680622,-0.36121673,-36.12%,0.803906189,-1.252920521,0.847606964,5019340642
000650.SZ,仁和药业,7.11,江西,医药生物,1996/12/10,23.24657534,1,0.34,0.313333333,2.7388,是,1,20.91176471,24.4507028,0.085106383,8.51%,3.490888316,-1.416614682,2.596027457,7330973250
000651.SZ,格力电器,59.2,广东,家用电器,1996/11/18,23.30684932,1,3.546666667,2.646666667,15.1814,是,1,16.69172932,48.21256042,0.340050378,34.01%,1.163019382,-0.729485863,3.899508609,3.47E+11
000652.SZ,泰达股份,10.3,天津,综合,1996/11/28,23.27945205,1,0.198433333,-0.0156,2.7191,是,1,51.90660171,19.07401021,-13.72008547,-1372.01%,1.290972596,0.12934692,3.788018094,4928416666
000655.SZ,*ST 金岭,5.33,山东,采掘,1996/11/28,23.27945205,0,-0.435666667,0.546666667,4.0241,-,0,10000,0,-1.79695122,-179.70%,3.320805917,-792.2683696,1.324519768,3060048782
000656.SZ,金科股份,7.53,重庆,房地产,1996/11/28,23.27945205,1,0.45,0.956666667,4.0228,是,1,16.73333333,49.4682971,-0.529616725,-52.96%,1.71054006,0.367685415,1.871830566,35081932911
000657.SZ,中钨高新,6.22,海南,有色金属,1996/12/5,23.26027397,0,0.126433333,0.030533333,3.6152,-,0,49.19588716,0,3.140829694,314.08%,1.490216354,2.633137923,1.720513388,5509529472
000659.SZ,珠海中富,2.27,广东,轻工制造,1996/12/3,23.26575342,0,-0.120866667,-0.32,0.5318,-,0,10000,0,-0.622291667,-62.23%,1.036494854,0.358850625,4.268522001,3368540602
000661.SZ,长春高新,484,吉林,医药生物,1996/12/18,23.22465753,1,4.22,1.756666667,31.1268,是,1,114.6919431,13.52115643,1.40227704,140.23%,2.663683668,-3.146262397,15.54930157,74679284335
000662.SZ,天夏智慧,3.75,广西,计算机,1996/12/16,23.23013699,0,0.4271,-0.2789,5.1774,-,0,8.780145165,0,-2.531373252,-253.14%,1.791081595,-2.520045309,0.724301773,6842791815
000663.SZ,永安林业,3.79,福建,轻工制造,1996/12/6,23.25753425,0,-1.113333333,-0.043333333,2.3769,-,0,10000,0,24.69230769,2469.23%,1.187871617,1.1935379,1.594513863,1538645556
000665.SZ,湖北广电,6.68,湖北,传媒,1996/12/10,23.24657534,1,0.433333333,0.408666667,9.4134,是,1,15.41538462,22.5208389,0.060358891,6.04%,0.358558914,31.69383067,0.709626702,4798578446
000666.SZ,经纬纺机,11.25,北京,非银金融,1996/12/10,23.24657534,1,1.193333333,0.783333333,11.8278,是,1,9.427374302,4.650743666,0.523404255,52.34%,1.603815445,4.910402607,0.951148988,7393365000
000667.SZ,美好置业,2.65,云南,房地产,1996/12/5,23.26027397,1,0.2056,0.026666667,2.8115,-,0,12.88910506,0,6.71,671.00%,2.131619613,2.062528173,0.942557354,6808888627
000668.SZ,荣丰控股,11.26,上海,房地产,1996/12/10,23.24657534,0,-0.05,0.013333333,5.7816,是,1,10000,66.53410568,-4.75,-475.00%,2.76290348,1.076132298,1.947557769,2173259972
000669.SZ,金鸿控股,2.68,河北,公用事业,1996/12/10,23.24657534,0,-0.482633333,0.8606,3.7135,-,0,10000,0,-1.560810287,-156.08%,0.456456631,0.536611945,0.721691127,2626377956
000670.SZ,盈 方 微,1.92,湖北,电子,1996/12/17,23.22739726,0,-0.1978,0.012633333,0.242,-,0,10000,0,-16.65699208,-1665.70%,1.683965427,-3.741120863,7.933884298,1902741749
000671.SZ,阳 光 城,8.01,福建,房地产,1996/12/18,23.22465753,1,0.49,0.746666667,4.4391,是,1,16.34693878,7.515396084,-0.34375,-34.38%,1.694437622,0.234852648,1.804419815,28036498436
