Code,Name,Close,Location,Industry,List_date,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,Profit,平均EPS(2016-18),平均EPS(2011-13),净资产,div,PE1618,分红比率,Growth,流动比例,有形资产/债务,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5,
000554.SZ,泰山石油,4.6100,山东,化工,1993-12-15,0.0039 ,0.0060 ,0.0090 ,0.0078 ,0.0141 ,0.0253 ,0.0492 ,0.0192 ,0.0150 ,0.0173 ,0.3000 ,0.1500 ,0.0000 ,1,0.01,0.03,1.8728,-,731.75,0.0000,-79.83%,0.8911,-10.2066,2.46,"2,259,728,604.00",0,0,0,1,0,1,0,0,
000555.SZ,神州信息,16.8200,广东,计算机,1994-04-08,0.0437 ,0.3141 ,0.2637 ,0.3820 ,0.6482 ,0.8000 ,-0.0920,0.0070 ,0.0400 ,-0.0880,0.0020 ,0.0400 ,0.0000 ,1,0.21,0.24,5.1338,是,81.19,80.1024,-13.08%,1.3426,8.1720,3.28,"11,761,021,028.76",0,0,0,1,0,1,0,0,
000557.SZ,西部创业,2.8600,宁夏,交通运输,1994-06-17,0.1000 ,0.0600 ,0.0060 ,-0.0254,0.0017 ,0.0050 ,0.5330 ,-0.3360,-0.1330,0.2690 ,-0.3920,0.0300 ,0.0000 ,0,0.06,0.07,3.3797,-,51.69,0.0000,-17.82%,0.9569,8.3699,0.85,"4,856,387,867.55",0,0,0,1,1,1,1,0,
000558.SZ,莱茵体育,2.8300,浙江,房地产,1994-05-09,-0.0500,0.0221 ,0.0300 ,-0.4200,0.0600 ,0.1100 ,0.0998 ,0.1000 ,0.4561 ,0.3500 ,0.2820 ,0.4547 ,0.0000 ,0,0.00,0.10,0.9816,-,4042.86,0.0000,-99.32%,1.2518,1.8952,2.88,"4,215,762,313.23",0,0,0,1,0,1,0,0,
000559.SZ,万向钱潮,5.6000,浙江,汽车,1994-01-10,0.2620 ,0.3200 ,0.3630 ,0.3400 ,0.3700 ,0.3330 ,0.2110 ,0.2920 ,0.3670 ,0.2590 ,0.2150 ,0.2570 ,0.0000 ,1,0.32,0.28,1.8937,是,17.78,76.2019,13.04%,1.3213,7.4193,2.96,"13,986,050,026.32",0,0,0,1,0,1,0,0,
000560.SZ,我爱我家,3.4900,云南,房地产,1994-02-02,0.2714 ,0.0623 ,0.0676 ,0.0333 ,0.4151 ,0.4464 ,0.6285 ,0.5041 ,0.2118 ,0.2929 ,0.2747 ,0.5575 ,0.0000 ,1,0.13,0.53,3.9933,是,26.09,25.7437,-74.59%,1.0930,-174.3808,0.87,"10,317,093,727.38",0,0,0,1,1,1,1,0,
000561.SZ,烽火电子,6.3100,陕西,国防军工,1994-05-09,0.1400 ,0.1200 ,0.1500 ,0.1300 ,0.0600 ,0.0500 ,0.0600 ,0.1900 ,0.1500 ,-0.0900,1.9300 ,-1.0300,0.0000 ,1,0.14,0.10,2.2716,-,46.17,0.0000,36.67%,1.7517,-4.7459,2.78,"3,984,922,395.39",0,0,0,1,0,1,0,0,
000563.SZ,陕国投Ａ,3.8100,陕西,非银金融,1994-01-10,0.0912 ,0.1140 ,0.1667 ,0.3654 ,0.2887 ,0.2577 ,0.5160 ,0.4307 ,0.2274 ,0.1218 ,0.1336 ,0.2033 ,0.0000 ,1,0.12,0.40,2.6274,是,30.73,24.8159,-69.12%,1.1761,0.0000,1.45,"15,776,771,127.08",0,0,0,1,1,1,1,0,
000564.SZ,供销大集,1.9900,陕西,商业贸易,1994-01-10,0.1269 ,0.2354 ,0.1155 ,0.0750 ,0.1277 ,0.1345 ,0.1942 ,0.2019 ,0.1952 ,0.1804 ,0.2100 ,0.0800 ,0.0000 ,1,0.16,0.18,5.1878,-,12.49,0.0000,-9.95%,1.6845,-7.2768,0.38,"13,457,535,237.44",0,1,0,1,1,1,1,1,
000565.SZ,渝三峡Ａ,4.6100,重庆,化工,1994-04-08,0.1000 ,0.1900 ,0.5200 ,0.3300 ,0.2400 ,0.2100 ,0.3300 ,-0.9200,0.2000 ,1.1700 ,0.1400 ,0.1600 ,0.0000 ,1,0.27,-0.13,2.4882,是,17.07,12.4646,-313.16%,1.7481,-12.5283,1.85,"2,111,594,111.40",0,0,0,1,0,1,0,0,
